Fecha,CENTROS SOCIOSANITARIOS,CENTROS SOCIOSANITARIOS hoy,DOMICILIOS,FALLECIDOS TOTALES,FALLECIDOS TOTALES hoy,HOSPITALES,HOSPITALES hoy,OTROS LUGARES,PACIENTES UCI ACUMULADOS,PACIENTES UCI DIA
2021-01-23,5003,0.0,1220,20337,0.0,14084,0.0,30,7982,637
2021-01-22,5003,4.0,1220,20337,128.0,14084,119.0,30,7931,618
2021-01-21,4999,0.0,1215,20209,0.0,13965,0.0,30,7875,606
2021-01-20,4999,6.0,1215,20209,248.0,13965,223.0,30,7804,580
2021-01-19,4993,0.0,1196,19961,0.0,13742,0.0,30,7749,551
2021-01-18,4993,4.0,1196,19961,42.0,13742,35.0,30,7690,525
2021-01-17,4989,0.0,1193,19919,0.0,13707,0.0,30,7638,490
2021-01-16,4989,0.0,1193,19919,0.0,13707,0.0,30,7603,491
2021-01-15,4989,2.0,1193,19919,122.0,13707,111.0,30,7559,472
2021-01-14,4987,0.0,1184,19797,0.0,13596,0.0,30,7516,455
2021-01-13,4987,1.0,1184,19797,31.0,13596,25.0,30,7474,446
2021-01-12,4986,0.0,1179,19766,0.0,13571,0.0,30,7438,426
2021-01-11,4986,1.0,1179,19766,37.0,13571,34.0,30,7411,424
2021-01-10,4985,0.0,1177,19729,0.0,13537,0.0,30,7381,408
2021-01-09,4985,0.0,1177,19729,0.0,13537,0.0,30,7350,385
2021-01-08,4985,1.0,1177,19729,88.0,13537,83.0,30,7327,390
2021-01-07,4984,0.0,1173,19641,0.0,13454,0.0,30,7286,377
2021-01-05,4984,4.0,1173,19641,111.0,13454,104.0,30,7228,352
2021-01-04,4980,2.0,1170,19530,15.0,13350,13.0,30,7193,351
2021-01-03,4978,0.0,1170,19515,0.0,13337,0.0,30,7160,332
2021-01-02,4978,0.0,1170,19515,0.0,13337,0.0,30,7139,328
2020-12-31,4978,0.0,1170,19515,0.0,13337,0.0,30,7095,301
2020-12-30,4978,1.0,1170,19515,27.0,13337,25.0,30,7076,297
2020-12-29,4977,0.0,1169,19488,0.0,13312,0.0,30,7057,295
2020-12-28,4977,3.0,1169,19488,116.0,13312,108.0,30,7047,311
2020-12-27,4974,0.0,1164,19372,0.0,13204,0.0,30,7016,301
2020-12-26,4974,0.0,1164,19372,0.0,13204,0.0,30,6999,295
2020-12-24,4974,0.0,1164,19372,0.0,13204,0.0,30,6970,237
2020-12-23,4974,2.0,1164,19372,81.0,13204,75.0,30,6955,297
2020-12-22,4972,0.0,1160,19291,0.0,13129,0.0,30,6936,298
2020-12-21,4972,0.0,1160,19291,20.0,13129,19.0,30,6907,301
2020-12-19,4972,0.0,1159,19271,0.0,13110,0.0,30,6875,294
2020-12-18,4972,3.0,1159,19271,32.0,13110,27.0,30,6850,295
2020-12-17,4969,0.0,1157,19239,0.0,13083,0.0,30,6835,300
2020-12-16,4969,1.0,1157,19239,75.0,13083,69.0,30,6816,303
2020-12-15,4968,0.0,1152,19164,0.0,13014,0.0,30,6795,306
2020-12-14,4968,0.0,1152,19164,15.0,13014,14.0,30,6764,303
2020-12-13,4968,0.0,1151,19149,0.0,13000,0.0,30,6750,303
2020-12-12,4968,0.0,1151,19149,0.0,13000,0.0,30,6730,293
2020-12-11,4968,3.0,1151,19149,34.0,13000,30.0,30,6718,301
2020-12-09,4965,7.0,1150,19115,86.0,12970,79.0,30,6666,299
2020-12-08,4958,0.0,1150,19029,0.0,12891,0.0,30,6646,294
2020-12-07,4958,1.0,1150,19029,22.0,12891,20.0,30,6626,289
2020-12-06,4957,0.0,1149,19007,0.0,12871,0.0,30,6615,292
2020-12-05,4957,0.0,1149,19007,0.0,12871,0.0,30,6603,293
2020-12-04,4957,3.0,1149,19007,50.0,12871,44.0,30,6588,306
2020-12-03,4954,0.0,1146,18957,0.0,12827,0.0,30,6572,311
2020-12-02,4954,2.0,1146,18957,78.0,12827,72.0,30,6555,318
2020-12-01,4952,0.0,1142,18879,0.0,12755,0.0,30,6540,340
2020-11-30,4952,0.0,1142,18879,22.0,12755,21.0,30,6517,343
2020-11-29,4952,0.0,1141,18857,0.0,12734,0.0,30,6507,341
2020-11-28,4952,0.0,1141,18857,0.0,12734,0.0,30,6496,339
2020-11-27,4952,2.0,1141,18857,56.0,12734,52.0,30,6478,349
